,0
0,3
1,2
2,3
3,9
4,0
5,5
6,5
7,7
8,5
9,8
10,5
11,2
12,1
13,7
14,0
15,5
16,9
17,4
18,7
19,9
20,9
21,3
22,7
23,4
24,7
25,4
26,8
27,2
28,7
29,9
30,5
31,8
32,4
33,2
34,1
35,8
36,6
37,2
38,4
39,3
40,5
41,3
42,8
43,0
44,3
45,4
46,8
47,5
48,5
49,9
50,3
51,9
52,4
53,5
54,2
55,4
56,8
57,2
58,4
59,4
60,4
61,8
62,0
63,7
64,2
65,9
66,5
67,7
68,9
69,0
70,5
71,9
72,0
73,8
74,7
75,7
76,3
77,9
78,3
79,7
80,4
81,5
82,3
83,8
84,0
85,3
86,2
87,4
88,3
89,6
90,1
91,3
92,3
93,0
94,0
95,9
96,0
97,6
98,2
99,9
100,6
101,4
102,1
103,6
104,2
105,7
106,2
107,9
108,5
109,8
110,2
111,5
112,3
113,2
114,6
115,4
116,2
117,6
118,3
119,8
120,0
121,7
122,3
123,2
124,0
125,0
126,4
127,3
128,0
129,2
130,1
131,7
132,7
133,4
134,7
135,2
136,5
137,3
138,5
139,9
140,8
141,6
142,9
143,5
144,9
145,9
146,8
147,3
148,8
149,9
150,4
151,9
152,0
153,2
154,3
155,1
156,8
157,2
158,1
159,3
160,5
161,5
162,4
163,7
164,2
165,8
166,0
167,9
168,4
169,9
170,1
171,3
172,4
173,3
174,8
175,2
176,2
177,1
178,8
179,2
180,2
181,9
182,0
183,1
184,0
185,2
186,8
187,1
188,2
189,1
190,9
191,4
192,5
193,4
194,3
195,3
196,6
197,9
198,3
199,0
200,8
201,2
202,0
203,9
204,9
205,1
206,8
207,7
208,0
209,6
210,2
211,7
212,7
213,4
214,7
215,6
216,7
217,3
218,0
219,4
220,4
221,3
222,7
223,2
224,0
225,6
226,8
227,0
228,7
229,4
230,8
231,2
232,4
233,0
234,2
235,8
236,8
237,5
238,5
239,4
240,9
241,9
242,6
243,2
244,3
245,7
246,4
247,4
248,4
249,6
250,8
251,9
252,8
253,6
254,1
255,4
256,5
257,3
258,5
259,9
260,9
261,3
262,1
263,8
264,5
265,2
266,0
267,9
268,7
269,3
270,1
271,0
272,4
273,0
274,2
275,2
276,4
277,2
278,7
279,9
280,1
281,3
282,4
283,0
284,2
285,9
286,4
287,9
288,9
289,0
290,3
291,3
292,9
293,9
294,3
295,8
296,7
297,7
298,2
299,7
300,7
301,2
302,7
303,3
304,9
305,7
306,0
307,6
308,9
309,2
310,7
311,5
312,4
313,4
314,2
315,5
316,7
317,0
318,2
319,7
320,3
321,1
322,4
323,4
324,2
325,5
326,4
327,0
328,8
329,5
330,5
331,8
332,7
333,6
334,9
335,8
336,0
337,5
338,0
339,9
340,2
341,7
342,3
343,2
344,8
345,0
346,8
347,7
348,3
349,8
350,4
351,2
352,4
353,5
354,7
355,0
356,4
357,0
358,4
359,5
360,6
361,9
362,6
363,7
364,1
365,7
366,3
367,7
368,7
369,5
370,6
371,9
372,4
373,3
374,5
375,4
376,2
377,7
378,4
379,1
380,9
381,2
382,0
383,4
384,2
385,2
386,7
387,5
388,5
389,3
390,5
391,0
392,3
393,3
394,2
395,5
396,8
397,8
398,9
399,8
400,2
401,5
402,4
403,2
404,9
405,8
406,8
407,8
408,7
409,6
410,8
411,5
412,0
413,2
414,3
415,0
416,3
417,9
418,3
419,4
420,5
421,4
422,3
423,3
424,4
425,5
426,6
427,0
428,7
429,9
430,0
431,9
432,8
433,8
434,4
435,9
436,9
437,0
438,8
439,3
440,2
441,3
442,6
443,9
444,7
445,0
446,5
447,3
448,8
449,1
450,3
451,0
452,0
453,2
454,0
455,3
456,0
457,0
458,8
459,8
460,8
461,5
462,9
463,5
464,2
465,0
466,9
467,9
468,2
469,9
470,8
471,5
472,0
473,3
474,8
475,6
476,8
477,4
478,8
479,4
480,4
481,5
482,3
483,8
484,1
485,9
486,2
487,6
488,8
489,6
490,7
491,0
492,2
493,8
494,5
495,7
496,4
497,7
498,0
499,3
500,4
501,2
502,7
