state_name,district_name,disability_type,age_lower,age_upper,Male_count,female_count,total
Maharashtra,Yavatmal,Acid Attack Victim,35,60,1,0,1
Maharashtra,Yavatmal,Acid Attack Victim,60,80,0,1,1
Haryana,Yamunanagar,Acid Attack Victim,15,35,1,0,1
Haryana,Yamunanagar,Acid Attack Victim,35,60,4,0,4
Karnataka,Yadgir,Acid Attack Victim,15,35,5,8,13
Karnataka,Yadgir,Acid Attack Victim,35,60,5,4,9
Jharkhand,West Singhbhum,Acid Attack Victim,6,15,1,0,1
Jharkhand,West Singhbhum,Acid Attack Victim,35,60,1,0,1
Meghalaya,West Jaintia Hills,Acid Attack Victim,15,35,0,1,1
Maharashtra,Wardha,Acid Attack Victim,35,60,1,0,1
Andhra Pradesh,Vizianagaram,Acid Attack Victim,35,60,3,0,3
Andhra Pradesh,Visakhapatanam,Acid Attack Victim,15,35,1,0,1
Andhra Pradesh,Visakhapatanam,Acid Attack Victim,35,60,2,0,2
Tamil Nadu,Virudhunagar,Acid Attack Victim,6,15,1,1,2
Tamil Nadu,Virudhunagar,Acid Attack Victim,15,35,4,7,11
Tamil Nadu,Virudhunagar,Acid Attack Victim,35,60,13,15,28
Tamil Nadu,Virudhunagar,Acid Attack Victim,60,80,1,5,6
Tamil Nadu,Villupuram,Acid Attack Victim,35,60,2,1,3
Tamil Nadu,Villupuram,Acid Attack Victim,60,80,1,1,2
Karnataka,Vijayapura,Acid Attack Victim,6,15,1,0,1
Karnataka,Vijayapura,Acid Attack Victim,15,35,7,7,14
Karnataka,Vijayapura,Acid Attack Victim,35,60,11,2,13
Karnataka,Vijayapura,Acid Attack Victim,60,80,2,0,2
Madhya Pradesh,Vidisha,Acid Attack Victim,15,35,4,2,6
Madhya Pradesh,Vidisha,Acid Attack Victim,35,60,5,2,7
Madhya Pradesh,Vidisha,Acid Attack Victim,60,80,3,0,3
Tamil Nadu,Vellore,Acid Attack Victim,15,35,8,8,16
Tamil Nadu,Vellore,Acid Attack Victim,35,60,14,4,18
Tamil Nadu,Vellore,Acid Attack Victim,60,80,1,4,5
Tamil Nadu,Vellore,Acid Attack Victim,80,100,1,0,1
Uttar Pradesh,Varanasi,Acid Attack Victim,35,60,1,0,1
Gujarat,Valsad,Acid Attack Victim,60,80,0,1,1
Bihar,Vaishali,Acid Attack Victim,6,15,0,1,1
Bihar,Vaishali,Acid Attack Victim,15,35,5,0,5
Bihar,Vaishali,Acid Attack Victim,35,60,1,0,1
Gujarat,Vadodara,Acid Attack Victim,35,60,0,1,1
Karnataka,Uttara Kannada,Acid Attack Victim,35,60,1,2,3
Uttarakhand,Uttar Kashi,Acid Attack Victim,15,35,2,1,3
Uttarakhand,Uttar Kashi,Acid Attack Victim,35,60,1,0,1
Uttar Pradesh,Unnao,Acid Attack Victim,15,35,2,0,2
Uttar Pradesh,Unnao,Acid Attack Victim,35,60,2,2,4
Himachal Pradesh,Una,Acid Attack Victim,35,60,0,1,1
Madhya Pradesh,Umaria,Acid Attack Victim,6,15,0,1,1
Madhya Pradesh,Umaria,Acid Attack Victim,15,35,10,5,15
Madhya Pradesh,Umaria,Acid Attack Victim,35,60,7,5,12
Madhya Pradesh,Umaria,Acid Attack Victim,60,80,1,0,1
Madhya Pradesh,Ujjain,Acid Attack Victim,6,15,0,1,1
Madhya Pradesh,Ujjain,Acid Attack Victim,15,35,0,1,1
Madhya Pradesh,Ujjain,Acid Attack Victim,35,60,1,1,2
Karnataka,Udupi,Acid Attack Victim,35,60,0,1,1
Uttarakhand,Udam Singh Nagar,Acid Attack Victim,35,60,0,2,2
Uttarakhand,Udam Singh Nagar,Acid Attack Victim,60,80,1,0,1
Assam,Udalguri,Acid Attack Victim,35,60,2,1,3
Rajasthan,Udaipur,Acid Attack Victim,15,35,1,1,2
Rajasthan,Udaipur,Acid Attack Victim,35,60,2,0,2
Tamil Nadu,Tuticorin,Acid Attack Victim,35,60,1,1,2
Tamil Nadu,Tuticorin,Acid Attack Victim,60,80,1,0,1
Karnataka,Tumakuru,Acid Attack Victim,0,6,1,0,1
Karnataka,Tumakuru,Acid Attack Victim,6,15,0,2,2
Karnataka,Tumakuru,Acid Attack Victim,15,35,2,0,2
Karnataka,Tumakuru,Acid Attack Victim,35,60,10,9,19
Karnataka,Tumakuru,Acid Attack Victim,60,80,2,1,3
Rajasthan,Tonk,Acid Attack Victim,15,35,1,0,1
Rajasthan,Tonk,Acid Attack Victim,35,60,3,1,4
Tamil Nadu,Tiruvannamalai,Acid Attack Victim,0,6,3,0,3
Tamil Nadu,Tiruvannamalai,Acid Attack Victim,6,15,0,1,1
Tamil Nadu,Tiruvannamalai,Acid Attack Victim,15,35,1,1,2
Tamil Nadu,Tiruvannamalai,Acid Attack Victim,35,60,5,2,7
Tamil Nadu,Tiruvannamalai,Acid Attack Victim,60,80,1,0,1
Tamil Nadu,Tiruppur,Acid Attack Victim,35,60,1,0,1
Tamil Nadu,Tirupathur,Acid Attack Victim,15,35,3,4,7
Tamil Nadu,Tirupathur,Acid Attack Victim,35,60,6,2,8
Tamil Nadu,Tirupathur,Acid Attack Victim,60,80,3,0,3
Tamil Nadu,Tirupathur,Acid Attack Victim,80,100,0,1,1
Tamil Nadu,Tiruchirappalli,Acid Attack Victim,6,15,1,0,1
Tamil Nadu,Tiruchirappalli,Acid Attack Victim,15,35,1,2,3
Tamil Nadu,Tiruchirappalli,Acid Attack Victim,35,60,1,0,1
Assam,Tinsukia,Acid Attack Victim,35,60,1,0,1
Madhya Pradesh,Tikamgarh,Acid Attack Victim,15,35,1,1,2
Madhya Pradesh,Tikamgarh,Acid Attack Victim,35,60,2,0,2
Kerala,Thrissur,Acid Attack Victim,35,60,2,0,2
Kerala,Thrissur,Acid Attack Victim,60,80,3,0,3
Tamil Nadu,Thiruvarur,Acid Attack Victim,15,35,1,0,1
Tamil Nadu,Thiruvarur,Acid Attack Victim,35,60,0,1,1
Kerala,Thiruvananthapuram,Acid Attack Victim,15,35,2,0,2
Kerala,Thiruvananthapuram,Acid Attack Victim,35,60,1,3,4
Tamil Nadu,Thiruvallur,Acid Attack Victim,60,80,1,0,1
Maharashtra,Thane,Acid Attack Victim,15,35,2,0,2
Maharashtra,Thane,Acid Attack Victim,35,60,5,0,5
Maharashtra,Thane,Acid Attack Victim,60,80,4,2,6
Uttarakhand,Tehri Garhwal,Acid Attack Victim,35,60,2,0,2
Punjab,Tarn Taran,Acid Attack Victim,0,6,0,1,1
Punjab,Tarn Taran,Acid Attack Victim,15,35,2,2,4
Punjab,Tarn Taran,Acid Attack Victim,35,60,12,4,16
Chhattisgarh,Surguja,Acid Attack Victim,15,35,0,1,1
Gujarat,Surat,Acid Attack Victim,35,60,1,0,1
Chhattisgarh,Surajpur,Acid Attack Victim,35,60,1,0,1
