Health,Age,Gender,White,Mixed,Asian,African,Others,Region,Disability_Type
Very good,Children&Teens,Males,"8,707","2,205","2,938","2,810",651,Camden,Disabled
Very good,Adults,Males,"39,791","2,713","9,870","3,756","2,598",Camden,Disabled
Very good,Middle aged,Males,"8,175",236,813,539,309,Camden,Disabled
Very good,Seniors,Males,"4,740",66,324,199,86,Camden,Disabled
Fair,Children&Teens,Males,177,83,148,100,30,Camden,Disabled
Fair,Adults,Males,"2,313",220,761,379,203,Camden,Disabled
Fair,Middle aged,Males,"2,053",77,293,148,98,Camden,Disabled
Fair,Seniors,Males,"2,702",56,310,142,60,Camden,Disabled
Bad,Children&Teens,Males,68,28,56,38,11,Camden,Disabled
Bad,Adults,Males,"1,176",117,289,213,131,Camden,Disabled
Bad,Middle aged,Males,"1,583",59,229,100,90,Camden,Disabled
Bad,Seniors,Males,"1,363",19,281,103,52,Camden,Disabled
Very good,Children&Teens,Males,60,18,36,28,2,Camden,Severly_limited
Very good,Adults,Males,244,29,41,55,21,Camden,Severly_limited
Very good,Middle aged,Males,130,7,12,32,4,Camden,Severly_limited
Very good,Seniors,Males,167,3,10,18,3,Camden,Severly_limited
Fair,Children&Teens,Males,39,10,16,21,2,Camden,Severly_limited
Fair,Adults,Males,379,47,73,76,37,Camden,Severly_limited
Fair,Middle aged,Males,376,8,43,35,15,Camden,Severly_limited
Fair,Seniors,Males,693,10,99,41,21,Camden,Severly_limited
Bad,Children&Teens,Males,39,14,25,26,10,Camden,Severly_limited
Bad,Adults,Males,856,80,165,143,84,Camden,Severly_limited
Bad,Middle aged,Males,"1,177",38,151,71,60,Camden,Severly_limited
Bad,Seniors,Males,"1,075",11,225,82,38,Camden,Severly_limited
Very good,Children&Teens,Males,104,39,56,27,6,Camden,Limited
Very good,Adults,Males,794,55,175,107,54,Camden,Limited
Very good,Middle aged,Males,372,4,38,31,7,Camden,Limited
Very good,Seniors,Males,601,8,58,31,9,Camden,Limited
Fair,Children&Teens,Males,60,30,33,26,9,Camden,Limited
Fair,Adults,Males,690,78,171,121,52,Camden,Limited
Fair,Middle aged,Males,705,32,94,48,39,Camden,Limited
Fair,Seniors,Males,"1,151",28,125,53,23,Camden,Limited
Bad,Children&Teens,Males,11,6,14,5,0,Camden,Limited
Bad,Adults,Males,213,25,64,50,30,Camden,Limited
Bad,Middle aged,Males,324,16,55,18,23,Camden,Limited
Bad,Seniors,Males,231,3,47,17,11,Camden,Limited
Very good,Children&Teens,Males,"8,543","2,148","2,846","2,755",643,Camden,Not_Limited
Very good,Adults,Males,"38,753","2,629","9,654","3,594","2,523",Camden,Not_Limited
Very good,Middle aged,Males,"7,673",225,763,476,298,Camden,Not_Limited
Very good,Seniors,Males,"3,972",55,256,150,74,Camden,Not_Limited
Fair,Children&Teens,Males,78,43,99,53,19,Camden,Not_Limited
Fair,Adults,Males,"1,244",95,517,182,114,Camden,Not_Limited
Fair,Middle aged,Males,972,37,156,65,44,Camden,Not_Limited
Fair,Seniors,Males,858,18,86,48,16,Camden,Not_Limited
Bad,Children&Teens,Males,18,8,17,7,1,Camden,Not_Limited
Bad,Adults,Males,107,12,60,20,17,Camden,Not_Limited
Bad,Middle aged,Males,82,5,23,11,7,Camden,Not_Limited
Bad,Seniors,Males,57,5,9,4,3,Camden,Not_Limited
Very good,Children&Teens,Females,"8,526","2,312","3,052","2,351",589,Camden,Disabled
Very good,Adults,Females,"38,581","3,029","11,498","4,485","2,406",Camden,Disabled
Very good,Middle aged,Females,"7,791",240,"1,070",574,252,Camden,Disabled
Very good,Seniors,Females,"5,887",86,403,238,130,Camden,Disabled
Fair,Children&Teens,Females,146,81,135,61,17,Camden,Disabled
Fair,Adults,Females,"2,515",271,"1,035",693,258,Camden,Disabled
Fair,Middle aged,Females,"1,964",97,536,296,97,Camden,Disabled
Fair,Seniors,Females,"3,643",68,361,241,95,Camden,Disabled
Bad,Children&Teens,Females,47,31,37,24,6,Camden,Disabled
Bad,Adults,Females,"1,124",126,359,286,125,Camden,Disabled
Bad,Middle aged,Females,"1,237",54,342,134,89,Camden,Disabled
Bad,Seniors,Females,"1,746",48,306,150,72,Camden,Disabled
Very good,Children&Teens,Females,26,9,22,28,5,Camden,Severly_limited
Very good,Adults,Females,159,27,60,46,18,Camden,Severly_limited
Very good,Middle aged,Females,92,8,19,21,6,Camden,Severly_limited
Very good,Seniors,Females,264,3,15,26,6,Camden,Severly_limited
Fair,Children&Teens,Females,17,9,8,5,2,Camden,Severly_limited
Fair,Adults,Females,347,29,82,107,18,Camden,Severly_limited
Fair,Middle aged,Females,350,20,81,75,25,Camden,Severly_limited
Fair,Seniors,Females,"1,205",24,90,86,28,Camden,Severly_limited
Bad,Children&Teens,Females,29,21,18,11,4,Camden,Severly_limited
Bad,Adults,Females,807,94,193,187,76,Camden,Severly_limited
Bad,Middle aged,Females,950,46,233,84,61,Camden,Severly_limited
Bad,Seniors,Females,"1,465",37,236,115,65,Camden,Severly_limited
Very good,Children&Teens,Females,82,21,38,27,5,Camden,Limited
Very good,Adults,Females,732,91,179,123,38,Camden,Limited
Very good,Middle aged,Females,416,15,78,41,20,Camden,Limited
Very good,Seniors,Females,944,14,63,56,14,Camden,Limited
Fair,Children&Teens,Females,69,35,30,20,4,Camden,Limited
Fair,Adults,Females,849,99,269,218,86,Camden,Limited
Fair,Middle aged,Females,789,44,234,118,34,Camden,Limited
Fair,Seniors,Females,"1,563",30,160,109,49,Camden,Limited
Bad,Children&Teens,Females,12,5,6,3,1,Camden,Limited
Bad,Adults,Females,226,21,115,56,32,Camden,Limited
Bad,Middle aged,Females,227,7,79,38,25,Camden,Limited
Bad,Seniors,Females,239,8,52,31,4,Camden,Limited
Very good,Children&Teens,Females,"8,418","2,282","2,992","2,296",579,Camden,Not_Limited
Very good,Adults,Females,"37,690","2,911","11,259","4,316","2,350",Camden,Not_Limited
Very good,Middle aged,Females,"7,283",217,973,512,226,Camden,Not_Limited
Very good,Seniors,Females,"4,679",69,325,156,110,Camden,Not_Limited
Fair,Children&Teens,Females,60,37,97,36,11,Camden,Not_Limited
Fair,Adults,Females,"1,319",143,684,368,154,Camden,Not_Limited
Fair,Middle aged,Females,825,33,221,103,38,Camden,Not_Limited
Fair,Seniors,Females,875,14,111,46,18,Camden,Not_Limited
Bad,Children&Teens,Females,6,5,13,10,1,Camden,Not_Limited
Bad,Adults,Females,91,11,51,43,17,Camden,Not_Limited
Bad,Middle aged,Females,60,1,30,12,3,Camden,Not_Limited
Bad,Seniors,Females,42,3,18,4,3,Camden,Not_Limited
